Row Labels,Sum of ma global,Sum of ma ciuntry
2013,#N/A,#N/A
2012,#N/A,#N/A
2011,#N/A,#N/A
2010,#N/A,#N/A
2009,#N/A,#N/A
2008,#N/A,#N/A
2007,#N/A,#N/A
2006,#N/A,#N/A
2005,#N/A,#N/A
2004,9.556,22.487
2003,9.548,22.413
2002,9.554,22.406
2001,9.543,22.44
2000,9.493,22.217
1999,9.471,22.182
1998,9.48,22.154
1997,9.427,22.063
1996,9.378,22.046
1995,9.343,22.001
1994,9.315,21.995
1993,9.249,21.957
1992,9.176,21.827
1991,9.153,21.759
1990,9.156,21.77
1989,9.119,21.685
1988,9.087,21.614
1987,9.066,21.593
1986,9.045,21.557
1985,8.976,21.573
1984,8.941,21.503
1983,8.957,21.399
1982,8.937,21.392
1981,8.936,21.369
1980,8.911,21.361
1979,8.892,21.424
1978,8.841,21.426
1977,8.827,21.459
1976,8.779,21.435
1975,8.787,21.398
1974,8.765,21.421
1973,8.757,21.488
1972,8.743,21.541
1971,8.686,21.54
1970,8.658,21.541
1969,8.645,21.523
1968,8.628,21.504
1967,8.613,21.439
1966,8.638,21.521
1965,8.617,21.538
1964,8.611,21.49
1963,8.602,21.557
1962,8.627,21.611
1961,8.647,21.584
1960,8.635,21.661
1959,8.648,21.571
1958,8.673,21.608
1957,8.676,21.665
1956,8.644,21.603
1955,8.654,21.661
1954,8.669,21.699
1953,8.67,21.607
1952,8.659,21.588
1951,8.642,21.656
1950,8.621,21.579
1949,8.607,21.549
1948,8.605,21.452
1947,8.612,21.497
1946,8.652,21.525
1945,8.647,21.398
1944,8.676,21.393
1943,8.665,21.411
1942,8.674,21.378
1941,8.688,21.372
1940,8.727,21.378
1939,8.744,21.495
1938,8.755,21.499
1937,8.745,21.487
1936,8.732,21.511
1935,8.726,21.589
1934,8.704,21.601
1933,8.662,21.59
1932,8.66,21.574
1931,8.655,21.558
1930,8.642,21.572
1929,8.59,21.494
1928,8.567,21.574
1927,8.549,21.568
1926,8.567,21.49
1925,8.568,21.466
1924,8.556,21.475
1923,8.564,21.49
1922,8.534,21.486
1921,8.519,21.399
1920,8.492,21.298
1919,8.506,21.334
1918,8.456,21.305
1917,8.406,21.241
1916,8.356,21.292
1915,8.362,21.312
1914,8.37,21.247
1913,8.358,21.148
1912,8.334,21.088
1911,8.295,21.093
1910,8.281,21.086
1909,8.261,21.083
1908,8.267,20.977
1907,8.26,20.91
1906,8.275,20.861
1905,8.239,20.807
1904,8.189,20.772
1903,8.181,20.771
1902,8.194,20.828
1901,8.23,20.939
1900,8.258,21.031
1899,8.28,20.995
1898,8.279,21.05
1897,8.313,21.087
1896,8.296,21.08
1895,8.288,21.074
1894,8.295,21.108
1893,8.279,21.126
1892,8.256,21.129
1891,8.204,21.053
1890,8.151,21.005
1889,8.143,21.006
1888,8.134,21.018
1887,8.096,21.057
1886,8.07,20.995
1885,8.047,20.989
1884,8.008,20.917
1883,8,20.925
1882,8.006,20.824
1881,8.031,20.867
1880,8.046,20.878
1879,8.031,20.922
1878,8.105,20.972
1877,8.168,20.99
1876,8.181,21.04
1875,8.175,20.948
1874,8.241,21.002
1873,8.278,21.077
1872,8.284,21.153
1871,8.269,21.084
1870,8.277,21.094
1869,8.303,21.086
1868,8.245,21.026
1867,8.235,21.032
1866,8.256,21.062
1865,8.288,21.218
1864,8.243,21.266
1863,8.219,21.186
1862,8.156,21.094
1861,8.129,21.028
1860,8.105,21.031
1859,8.087,20.988
1858,8.072,20.984
1857,8.004,20.868
1856,7.975,20.782
1855,7.968,20.731
1854,7.991,20.68
1853,7.984,20.773
1852,8.038,20.855
1851,8.071,20.945
1850,8.065,20.851
1849,8.038,20.843
1848,8.026,20.842
1847,8.059,20.923
1846,8.114,21.031
1845,8.088,21.017
1844,8.032,21.009
1843,8.045,20.939
1842,8.037,20.927
1841,7.988,20.907
1840,7.978,20.924
1839,7.943,20.877
1838,7.896,20.809
1837,7.825,20.726
1836,7.74,20.628
1835,7.694,20.555
1834,7.744,20.558
1833,7.728,20.556
1832,7.671,20.484
1831,7.666,20.445
1830,7.738,20.514
1829,7.769,20.562
1828,7.835,20.64
1827,7.978,20.776
1826,8.044,20.811
1825,8.144,20.894
1824,8.184,20.969
1823,8.155,20.959
1822,8.229,21.011
1821,8.274,21.022
1820,8.184,20.955
1819,8.127,20.895
1818,8.093,19.956
1817,7.91,19.981
1816,7.768,19.938
1815,7.653,19.868
1814,7.557,19.767
1813,7.559,19.747
1812,7.445,19.668
1811,7.322,19.605
1810,7.252,19.54
1809,7.223,19.496
1808,7.203,20.047
Grand Total,#N/A,#N/A
